"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"FRM02",42182.671875,41991.39453125,40134.11328125,37808.890625
"HR031",130110.46875,120943.5625,107379.71875,94683.15625
"HR032",119705.6953125,108404.2109375,89819.2734375,77633.0703125
"HR033",75575.5,70158.1171875,61608.95703125,55007.8671875
"HR034",139262.65625,129285.828125,115433.1953125,104010.4375
"HR035",203942.078125,188256.828125,165996.625,149593.78125
"HR036",145231.453125,132219.484375,111537.6484375,92790.1328125
"HR037",34442.96484375,31115.900390625,25206.724609375,21175.34765625
"HR041",157409.734375,148059.890625,130663.8984375,108823.65625
"HR042",685135.125,643614.25,568004.4375,474244.375
"HR043",171087.171875,159151.984375,141279.40625,122661.125
"HR044",135108.953125,123535.75,108994.3671875,97108.828125
"HR045",121044.875,110925.7578125,99016.25,88131.4140625
"HR046",69824.7578125,63958.23828125,56942.4296875,51021.79296875
"HR047",113596.34375,101991.0625,87638.4140625,74553.1484375
"HR048",56941.52734375,51810.2578125,45075.203125,39940.8203125
"HR049",82015.40625,73319.2265625,62227,52521.109375
"HR04A",105518.3203125,94601.8671875,79873.3984375,66515.484375
"HR04B",278052.8125,255396.609375,221947.234375,187764.9375
"HR04C",180751.265625,166250.4375,143680.015625,122440.015625
"HR04D",205618.453125,189282.421875,162407.4375,136304.6875
"HR04E",254540.6875,231324.703125,195642.390625,163864.546875
"HU110",272722.9375,263500.46875,244786.328125,217813.703125
"HU120",1964393,1887474.25,1738081.25,1528510
"HU211",542299.4375,513896.46875,462654.46875,390787.15625
"HU212",283422.3125,268763.375,244542.90625,209176.9375
"HU213",285921.0625,269075.3125,242334.875,208462.859375
"HU221",399101.71875,383422.09375,352851.375,304721.90625
"HU222",255257.25,240800.109375,218639.984375,190428.890625
"HU223",216185.359375,201608.53125,181940.515625,160181.21875
"HU231",334177.1875,315290.84375,286400.5,250473.109375
"HU232",286948.75,267927.71875,239527.40625,205315.453125
"HU233",288144.40625,272273.1875,246128.171875,209970.15625
"HU311",683940.4375,651415.5,592297.3125,514388.90625
"HU312",308505.5,291409.34375,262006.46875,224961.421875
"HU313",582043.3125,559195.1875,515957.71875,454386.4375
"HU321",678283.4375,652963.8125,594401.6875,513387
"HU322",370960.9375,349812.8125,312961.6875,266508.46875
"HU323",596693,570725.75,516536.1875,444294.375
"HU331",646989.875,613266.0625,556284.3125,476656.28125
"HU332",345000.375,320994.90625,280519.71875,230007.640625
"HU333",371622.25,354064.46875,323380.71875,281495.5
"IEG11582",58041.859375,59514.68359375,61967.24609375,60808.21875
"IEG11583",88653.4453125,89893.8046875,90498.7265625,87160.7578125
"IEG11584",176579.171875,183436.203125,196612.765625,193856.53125
"IEG11585",251612.40625,259124.375,270990.96875,265402.6875
"IEG11586",135267.8125,137801.25,138541,131844.90625
"IEG11587",560233.75,646775.6875,809506.25,875833.6875
"IEG11588",209026.765625,214930.203125,220603.078125,211613.015625
"IEG11589",112122.4765625,112897.375,114029.4765625,110242.671875
"IEG11590",204993,221657.265625,251927.828125,256856.1875
"IEG11591",110082.875,112497.625,116595.09375,114078.9921875
"IEG11592",94671.1328125,97326.4921875,100610.0078125,97644.671875
"IEG11593",51884.37890625,52901.40234375,53385.29296875,50916.5546875
"IEG11594",139471,143721.453125,152101.265625,149569.078125
"IEG11595",38806.66796875,39362.53515625,39074.51953125,37188.81640625
"IEG11596",52390.75390625,53400.43359375,54618.59765625,53175.1640625
"IEG11597",110005.15625,111116.90625,110413.7421875,104885.984375
"IEG11598",241638.6875,261968.390625,297749.71875,306704.03125
"IEG11599",78555.046875,78450.046875,77730.125,74122.9921875
"IEG11600",0.764254927635193,0.771357655525208,0.780193448066711,0.753464221954346
"IEG11601",107364.2109375,110593.3125,113726.7421875,109497.0078125
"IEG11602",73645.4375,74119,73138.1484375,69054.1875
"IEG11603",42631.46484375,43626.93359375,44306.296875,42389.05859375
"IEG11604",158137.015625,159341.578125,161294.921875,155010.15625
"IEG11605",81455.984375,82953.703125,85886.8046875,83898.984375
"IEG11606",95127.53125,97233.5703125,98979.9609375,95406.0703125
"IEG11607",91712.1171875,93728.3125,96399.0859375,93770.5
"IEG11608",655320.875,747446.875,919970,987065.5
"ITC11",2071655.375,2033304,1947364.125,1752730.5
"ITC12",235938.8125,225151.78125,209790,178822.96875
"ITC13",109503.9140625,104324.6171875,97089.890625,82497.078125
"ITC14",252948.1875,248384.53125,240755.421875,214597.890625
"ITC15",488055.40625,481235.1875,463454.84375,411327.25
"ITC16",648257.25,629544.0625,595274.0625,523542.84375
"ITC17",237850.671875,229001.171875,215137.515625,186672.40625
"ITC18",475763.21875,458716.0625,431288.09375,370811.0625
"ITC20",108800.640625,103981.7890625,97683.5078125,88146.3515625
"ITC31",25430.345703125,24558.396484375,22993.5703125,20189.59765625
"ITC32",139478.546875,133252.171875,124341.640625,105543.3984375
"ITC33",64149.046875,61817.96484375,58134.82421875,50020.47265625
"ITC34",97255.9375,94053.3515625,88388.4609375,76727.421875
"ITC41",782191,778819.3125,758886,681954.6875
"ITC42",1075005.125,1062028,1018871.5625,907426.9375
"ITC43",805679.375,795691.875,762614.3125,678925.1875
"ITC44",135897.609375,130732.0703125,123684.140625,109488.578125
