"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"ES419",157673.09375,153422.765625,152317.078125,157657.84375
"ES421",435154.875,435717.15625,438702.75,455670.4375
"ES422",522600.0625,520560.4375,522572.59375,531112.25
"ES423",263996.46875,264494.1875,269026,284120.40625
"ES424",390207.0625,391555.15625,396988.375,412343.75
"ES425",2068532.5,2070127.375,2095130.5,2186770.25
"ES431",624627.1875,614718.9375,610498.375,629302.0625
"ES432",322823.28125,316088.1875,314300.4375,338082.875
"ES511",2904499.5,2896508,2834032.25,2751820.75
"ES512",635705.75,626815.5625,594719.5625,536559.25
"ES513",517397.53125,512055.09375,496698.03125,474093.125
"ES514",578841.8125,581228.4375,546098.25,505251.96875
"ES521",1347023.125,1338750.625,1247362,1109632
"ES522",520098.53125,517722.84375,500961.90625,474835.53125
"ES523",1478323.75,1469871.375,1434515,1417326.875
"ES532",526373.6875,534297.5,517385,499614.21875
"ES611",382830.09375,379278,369002.71875,375233.46875
"ES612",624631.9375,623989.5,595927,557108.375
"ES613",745591.375,737392.4375,721380.9375,696911.75
"ES614",838190.0625,839306.4375,847058.375,890624.5625
"ES615",569114.5625,567870.5,543850.5625,513991.78125
"ES616",579807.1875,572271.25,568371.9375,565387.5
"ES617",1154158.125,1150745.125,1086535.25,999005.5625
"ES618",1852743.875,1855834.125,1834794.625,1776632.625
"ES620",1296829.25,1275048.875,1184067.625,1073674.25
"FI193",282837.53125,270349.21875,279921.65625,305345.03125
"FI194",187381.171875,178899.890625,192282.046875,217047.390625
"FI195",133678.25,141642.375,133888,149497.25
"FI196",197412.765625,189623.609375,196769.78125,217291.984375
"FI197",512670.0625,484715.71875,520997.78125,575562.875
"FI1B1",1213710.625,1168035.25,1156842.125,1152143.125
"FI1C1",330574.21875,321348.34375,336702,382748.40625
"FI1C2",207960.296875,193204.203125,205055.546875,224884.890625
"FI1C3",157597.59375,148422.671875,154257.671875,164853.890625
"FI1C4",136440.234375,135985.921875,136713.9375,146285.328125
"FI1C5",122909.8984375,122934.4140625,120994.8984375,131726.140625
"FI1D1",173001.4375,170024.671875,175711.140625,198297.078125
"FI1D2",227659.359375,220877.703125,225879.46875,247026.171875
"FI1D3",157188,154546,158414.53125,180298.34375
"FI1D5",47057.66796875,48866.921875,48551.1171875,55773.453125
"FI1D7",152749.828125,166732.03125,152926.3125,166220.46875
"FI1D8",70852.0859375,73273.3671875,71783.8984375,80278.953125
"FI1D9",324077.9375,316020.59375,328705.09375,358917.6875
"FI200",12689.7529296875,14511.0087890625,14266.8583984375,17456.7578125
"FR101",332248.5625,347486.0625,384338.28125,456208.96875
"FR102",2078429.75,2147304.25,2300485.25,2529668.25
"FR103",2494156.5,2605382.75,2873999,3384320
"FR104",4061032,4245523.5,4691158.5,5556016
"FR105",703655.4375,735926.25,813974.0625,966186
"FR106",656871.8125,686293.1875,756412.6875,889946.375
"FR107",737963.4375,771242.8125,850891.375,1003632.1875
"FR108",1009280.6875,1050695.5,1150162.375,1330381.625
"FRB01",300992.5625,302992.625,319054.28125,350583.40625
"FRB02",512258.875,523984.125,556790.1875,610492.6875
"FRB03",247703.28125,247852.796875,258866.9375,280359.0625
